-- Table: quiz_questions
-- Generated: 2026-02-28 23:12:38

+------------------+--------------+------+-----+---------------------+-------------------------------+
| Field            | Type         | Null | Key | Default             | Extra                         |
+------------------+--------------+------+-----+---------------------+-------------------------------+
| id               | bigint(20)   | NO   | PRI |                     | auto_increment                |
| old_id           | bigint(20)   | YES  | MUL |                     |                               |
| name             | varchar(256) | YES  |     |                     |                               |
| answer           | text         | YES  |     |                     |                               |
| is_active        | tinyint(4)   | YES  |     |                     |                               |
| user_id          | bigint(20)   | YES  | MUL |                     |                               |
| old_user_id      | bigint(20)   | YES  | MUL |                     |                               |
| is_english       | tinyint(4)   | YES  |     |                     |                               |
| created_at       | timestamp    | YES  |     | current_timestamp() |                               |
| updated_at       | timestamp    | YES  |     |                     | on update current_timestamp() |
| deleted_at       | timestamp    | YES  | MUL |                     |                               |
| summary          | text         | YES  |     |                     |                               |
| content          | text         | YES  |     |                     |                               |
| content_vi       | text         | YES  |     |                     |                               |
| content_textarea | text         | YES  |     |                     |                               |
| draft            | text         | YES  |     |                     |                               |
| image_list       | varchar(256) | YES  |     |                     |                               |
| old_image_list   | varchar(256) | YES  | MUL |                     |                               |
| note             | text         | YES  |     |                     |                               |
| note_book        | varchar(64)  | YES  |     |                     |                               |
| type             | smallint(6)  | YES  |     |                     |                               |
| explains         | text         | YES  |     |                     |                               |
| hard_level       | smallint(6)  | YES  |     |                     |                               |
| class            | varchar(64)  | YES  |     |                     |                               |
| parent_id        | bigint(20)   | YES  | MUL |                     |                               |
| old_parent_id    | bigint(20)   | YES  | MUL |                     |                               |
| parent_list      | varchar(255) | YES  |     |                     |                               |
| old_parent_list  | varchar(255) | YES  | MUL |                     |                               |
| refer            | varchar(255) | YES  | MUL |                     |                               |
| tmp              | text         | YES  |     |                     |                               |
| obj_refer        | text         | YES  |     |                     |                               |
| log              | text         | YES  |     |                     |                               |
| cat1             | bigint(20)   | YES  |     |                     |                               |
| cat2             | bigint(20)   | YES  |     |                     |                               |
+------------------+--------------+------+-----+---------------------+-------------------------------+

34 columns
