-- Table: vps_instances
-- Generated: 2026-02-25 21:42:20

+-----------------------+---------------------+------+-----+---------------------+-------------------------------+
| Field                 | Type                | Null | Key | Default             | Extra                         |
+-----------------------+---------------------+------+-----+---------------------+-------------------------------+
| id                    | bigint(11)          | NO   | PRI |                     | auto_increment                |
| name                  | varchar(128)        | NO   |     |                     |                               |
| status                | smallint(6)         | YES  |     | 1                   |                               |
| init_os               | bigint(20) unsigned | YES  |     |                     |                               |
| init_ip               | varchar(32)         | YES  |     |                     |                               |
| init_mac_address      | varchar(64)         | YES  |     |                     |                               |
| create_status         | varchar(20)         | YES  |     |                     |                               |
| create_vps_progress   | text                | YES  |     |                     |                               |
| user_id               | bigint(20)          | YES  | MUL |                     |                               |
| plan_id               | bigint(20)          | YES  | MUL |                     |                               |
| cpu                   | int(11)             | NO   |     |                     |                               |
| ram_gb                | int(11)             | NO   |     |                     |                               |
| disk_gb               | int(11)             | NO   |     |                     |                               |
| network_mbit          | int(11)             | YES  |     | 0                   |                               |
| number_ip_address     | int(11)             | YES  |     | 0                   |                               |
| price_per_minute      | decimal(18,6)       | YES  |     |                     |                               |
| vmware_vm_id          | varchar(128)        | YES  |     |                     |                               |
| bios_uuid             | varchar(64)         | YES  | UNI |                     |                               |
| instance_uuid         | varchar(64)         | YES  | MUL |                     |                               |
| full_info             | longtext            | YES  |     |                     |                               |
| power_state           | varchar(32)         | YES  |     | powered_off         |                               |
| created_at            | datetime            | YES  |     | current_timestamp() |                               |
| updated_at            | datetime            | YES  |     | current_timestamp() | on update current_timestamp() |
| deleted_at            | datetime            | YES  | MUL |                     |                               |
| log                   | text                | YES  |     |                     |                               |
| infos                 | longtext            | YES  |     |                     |                               |
| type                  | varchar(64)         | YES  |     |                     |                               |
| price_month           | decimal(18,2)       | YES  |     |                     |                               |
| last_billing_start_at | datetime            | YES  |     |                     |                               |
| image_list            | varchar(512)        | YES  |     |                     |                               |
+-----------------------+---------------------+------+-----+---------------------+-------------------------------+

30 columns
